松本駅お城口	36.231057	137.9651122
飯田町	36.23137923	137.9708537
市民芸術館	36.231109	137.974531
松本市美術館	36.231128	137.976219
秀峰学校前	36.230457	137.978992
清水	36.235002	137.979994
桜橋	36.237479	137.980013
元町	36.239863	137.980455
横田	36.242825	137.981376
北元町	36.245259	137.981882
自動車学校前	36.247062	137.982146
南浅間	36.251789	137.982952
南浅間公民館前	36.25385	137.983461
松本第一高校	36.256437	137.984115
浅間温泉入口	36.258767	137.984703
水汲	36.257566	137.980187
エア・ウォーターアリーナ松本	36.258791	137.981895
追分	36.254172	137.976443
大学西門	36.252061	137.977128
信州大学前	36.250083	137.976937
元原町	36.247886	137.975205
萩町	36.246169	137.97419
安原町	36.244193	137.973745
新町	36.240676	137.973738
片端	36.23761066	137.9730182
市役所口	36.238293	137.971496
松本城・市役所前	36.23656724	137.9727016
大名町	36.235814	137.969821
本町	36.233417	137.96938
松本バスターミナル	36.229554672687215  137.96748333518136